temp,humidity,watertemp,ph,ec,label
27.2,80.4,27.81,10.94,0.58,2
27.3,80.4,28,11,0.15,7
27.4,80.2,28.87,6.16,0.34,3
27.5,80.5,28.81,6.05,0.94,0
27.9,79.8,28.81,6.12,0.54,0
28.2,79.7,28.75,6.2,0.27,3
28.3,79.4,28.75,6.14,0.42,3
28.4,79,28.75,6.15,0.37,3
28.5,79.2,28.69,6.28,0.19,3
28.5,79.1,28.69,6.13,0.39,3
28.5,79.2,28.69,6.15,0.84,0
28.5,79.3,28.69,6.09,0.12,3
28.5,79.4,28.69,6.13,0.14,3
28.4,79.6,28.62,6.08,0.67,0
28.4,79.8,28.62,6.24,0.27,3
28.4,80.2,28.62,6.17,0.55,0
28.4,80.3,28.56,6.25,0.32,3
28.3,80.4,28.56,6.31,0.74,0
28.3,80.4,28.56,6.26,0.47,3
28.2,80.6,28.56,6.31,0.28,0
28.3,80.8,28.5,6.34,0.58,0
28.2,80.9,28.5,6.41,0.51,3
28.3,80.6,28.5,6.57,0.84,0
28.3,80.5,28.5,6.67,0.13,3
28.3,80.3,28.44,6.68,0.48,3
28.3,80.5,28.44,6.82,0.89,0
28.2,80.6,28.38,6.99,0.43,3
28.2,80.7,28.38,7.12,0.73,0
28.1,80.8,28.31,7.27,0.31,6
28.1,80.9,28.25,7.4,0.45,6
28,81,28.25,7.46,0.18,6
28,81.1,28.19,7.6,0.75,2
28,81.2,28.19,7.61,0.8,2
28,81.3,28.19,7.72,0.95,2
28,81.4,28.12,7.74,0.39,6
28,81.5,28.12,7.8,0.57,2
27.9,81.6,28.12,7.83,0.66,2
27.9,81.7,28.06,7.88,0.5,2
27.9,81.7,28.12,7.85,0.22,2
27.9,81.8,28.06,7.88,0.38,2
27.9,81.8,28.06,7.91,0.28,6
27.9,81.9,28,7.91,0.6,2
27.8,81.9,28,7.9,0.15,2
27.9,82,28,7.98,0.38,6
27.8,82.1,28,7.92,0.14,6
27.8,82.2,27.94,7.94,0.8,2
27.8,82.3,27.94,7.93,0.35,6
27.8,82.3,27.94,8.01,0.61,2
27.7,82.3,27.94,8.02,0.23,6
27.7,82.4,27.94,8,0.11,6
